dogadjaj_id,predmet,tip,nastavnik,smjerovi,ciklus,semestar,godina,grupa,broj_studenata,ucionica_id,dan,pocetak,kraj,trajanje_sati
D0115,Metodička praksa iz matematike u osnovnoj školi,LV,Daniela Zubović,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,1,I godina,G1,19,426,PONEDJELJAK,11:00,13:00,2
D0165,Primjena računara u nastavi,LV,Daniela Zubović,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,1,I godina,G1,19,441,SRIJEDA,08:00,10:00,2
D0227,Uvod u kompjutersku geometriju,LV,Adisa Bolić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,2,I godina,G1,19,426,PETAK,12:00,14:00,2
D0077,Kompjutaciona geometrija,LV,Aleksandar Balašev-Samarski,Kompjuterske nauke,Master,1,I godina,G1,15,426,PONEDJELJAK,15:00,17:00,2
D0233,Vještačka inteligencija,LV,Kemal Altwlkany,Kompjuterske nauke,Master,2,I godina,G1,15,441,CETVRTAK,12:00,14:00,2
D0135,Neuronske mreže,LV,Admir Beširević,Kompjuterske nauke,Master,1,I godina,G1,15,426,SRIJEDA,10:00,12:00,2
D0097,Matematičke metode u obradi i analizi digitalnih slika,LV,Adis Alihodžić,Kompjuterske nauke,Master,2,I godina,G1,15,441,CETVRTAK,10:00,12:00,2
D0155,Paralelno računanje i optimizacija,LV,Damir Hasić,Kompjuterske nauke,Master,1,I godina,G1,15,RC,CETVRTAK,10:00,12:00,2
D0079,Kompjuterska grafika,LV,Elmedin Selmanović,Kompjuterske nauke,Master,2,I godina,G1,15,441,UTORAK,14:00,16:00,2
D0127,Napredni algoritmi i strukture podataka,LV,Aleksandar Balašev-Samarski,Kompjuterske nauke,Master,2,I godina,G1,15,426,PETAK,17:00,19:00,2
D0139,Numerička analiza,LV,Aleksandra Kostić,Opći smjer | Primijenjena matematika,Bachelor,4,II godina,G1,11,441,SRIJEDA,15:00,17:00,2
D0237,Web programiranje,LV,Skopljaković Selma,Nastavnički smjer (matematika),Master,1,I godina,G1,11,441,SRIJEDA,10:00,12:00,2
D0103,Metodika nastave informatike II,LV,Daniela Zubović,Nastavnički smjer (matematika i informatika),Master,2,I godina,G1,8,RC,SRIJEDA,10:00,12:00,2
D0081,Kompjuterska vizija,LV,Admir Beširević,Kompjuterske nauke,Master,3,II godina,G1,8,426,CETVRTAK,11:00,13:00,2
D0111,Metodička praksa iz informatike u osnovnoj školi,LV,Daniela Zubović,Nastavnički smjer (matematika i informatika),Master,2,I godina,G1,8,VRC,PETAK,17:00,19:00,2
D0101,Metodika nastave informatike I,LV,Daniela Zubović,Nastavnički smjer (matematika i informatika),Bachelor,6,III godina,G1,6,441,PETAK,10:00,12:00,2
D0137,Neuronske mreže,LV,Admir Beširević,Primijenjena matematika,Master,3,II godina,G1,4,441,CETVRTAK,14:00,16:00,2
D0121,Metodologija istraživanja u nastavi,LV,Zenan Šabanac,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,3,II godina,G1,10,RC,UTORAK,11:00,12:00,1
D0184,Softverski inženjering,LV,Sead Delalić,Kompjuterske nauke,Master,3,II godina,G1,8,VRC,UTORAK,14:00,15:00,1
D0202,Teorija izračunljivosti,P,Damir Hasić,Kompjuterske nauke | Opći smjer,Bachelor,4,II godina,G1,45,428,CETVRTAK,16:00,19:00,3
D0094,Linearna algebra I,P,Amela Muratović-Ribić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,G1,45,VRC,PETAK,08:00,11:00,3
D0096,Linearna algebra II,P,Manuela Muzika Dizdarević,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,2,I godina,G1,45,428,PONEDJELJAK,08:00,11:00,3
D0095,Linearna algebra II,AV,Džana Drino,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,2,I godina,G1,45,428,PONEDJELJAK,12:00,14:00,2
D0201,Teorija izračunljivosti,AV,Damir Hasić,Kompjuterske nauke | Opći smjer,Bachelor,4,II godina,G1,45,428,UTORAK,10:00,12:00,2
D0093,Linearna algebra I,AV,Aleksandar Balašev-Samarski,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,G1,45,428,CETVRTAK,11:00,13:00,2
D0144,Odabrana poglavlja analize,P,Zenan Šabanac,Kompjuterske nauke,Bachelor,3,II godina,G1,40,432,SRIJEDA,08:00,11:00,3
D0010,Algebra za kompjuterske nauke,P,Amela Muratović-Ribić,Kompjuterske nauke,Bachelor,4,II godina,G1,40,432,PONEDJELJAK,13:00,16:00,3
D0194,Strukture podataka i algoritmi,P,Esmir Pilav,Kompjuterske nauke,Bachelor,3,II godina,G1,40,432,PETAK,12:00,15:00,3
D0143,Odabrana poglavlja analize,AV,Mirza Čvorak,Kompjuterske nauke,Bachelor,3,II godina,G1,40,432,SRIJEDA,13:00,16:00,3
D0087,Kriptologija,P,Amela Muratović-Ribić,Kompjuterske nauke,Bachelor,3,II godina,G1,40,432,CETVRTAK,14:00,17:00,3
D0192,Strukture podataka i algoritmi,AV,Admir Beširević,Kompjuterske nauke,Bachelor,3,II godina,G1,40,RC,SRIJEDA,17:00,19:00,2
